index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Stormguild Ironward	1746	Stormguild Talons	ltp	Light Plate	1	39									5	5000		red-dmg%		11	16	all-stats		9	15	cheap		5	10	aura	 103	3	7																					red-mag		39	39					hp%		25	25					skill	145	3	3																						0
Stormguild Bverrit	1747	Stormguild Talons	xlb	Demonhide Boots	1	39									5	5000		vit		19	39	res-all-max		5	15	balance1		15	25																									vit		12	13					red-dmg		39	39					hp%		25	25																						0
Stormguild Point	1748	Stormguild Talons	9fc	Tulwar	1	39									5	5000		lifesteal		4	8	swing1		20	45	dmg-norm		195	390	balance1		15	25																					allskills		1	1					dmg-undead		29	30					crush		74	74					dex		12	13					mana%		25	25						0
Stormguild Todesfaelle	1749	Stormguild Talons	xlm	Casque	1	39									5	5000		str		19	39	swing1		20	45	ac%		139	228	res-all		13	19	demon-heal		9	10																	bar		1	1					red-dmg		39	39					dex		12	13																						0
Serpent Black	1750	Serpent Chang	ult	Hellforge Plate	1	79									5	5000		red-dmg%		13	19	res-all-max		5	15	ac%		179	308	red-dmg		39	79	move1		20	65	all-stats		14	25													str		20	21																																						0
Serpent Spiritforge	1751	Serpent Chang	7h7	Great Poleaxe	1	79									5	5000		crush		25	40	aura	 122	3	14	dmg%		258	537	lifesteal		4	8																					hp		79	79					demon-heal		39	40																														0
Serpent Couant	1752	Serpent Chang	bae	Conqueror Crown	1	79									5	5000		bar		1	2	red-dmg		39	79	hp		79	158	all-stats		14	25	ac%		179	308	ac-hth		420	815													hp%		25	25					ac%		237	237																														0
Cliffkiller Cutthroat1	1753	Cliffkiller Greyform	umc	Mithril Coil	1	75									5	5000		aura	99	3	13	ac%		175	300	swing1		20	63	res-all-max		5	15	red-dmg		37	75																	hp		75	75					move1		20	20					hp%		25	25					thorns		225	225														0
Cliffkiller Armor	1754	Cliffkiller Greyform	uhm	Spired Helm	1	75									5	5000		oskill	145	6	19	red-dmg%		13	18	hp		75	150	ac%		175	300																					str		20	20					hp		75	75					ac-miss		750	750					all-stats		14	15														0
Cliffkiller Lance	1755	Cliffkiller Greyform	7s7	Balrog Spear	1	75									5	5000		dex		37	75	att-demon		175	425	indestruct		1	1	ignore-ac		1	1	crush		25	38																	swing1		20	20					hp		75	75					demon-heal		37	38																						0
Cliffkiller Patriarch	1756	Cliffkiller Greyform	utu	Wire Fleece	1	75									5	5000		bar		1	2	red-dmg%		13	18	ac%		175	300	swing1		20	63	res-all		15	22	red-dmg		37	75													vit		20	20					hp%		25	25					enr		20	20					ac%		225	225														0
Cliffkiller Goldskin	1757	Cliffkiller Greyform	uow	Aegis	1	75									5	5000		red-dmg%		13	18	allskills		1	1	res-all		15	22	ac-miss		400	775	heal-kill		14	24	levelreq		1	1													mana		75	75					ac-hth		750	750					ac%		225	225					bar		1	1					thorns		225	225						0
Cliffkiller Negra	1758	Cliffkiller Greyform	utg	Crusader Gauntlets	1	75									5	5000		vit		37	75	hp		75	150	red-dmg		37	75	ac%		175	300	regen		15	15	ethereal		1	1													hp		75	75					thorns		225	225					ac		750	750					red-dmg		75	75					ac%		225	225						0
Demon's Reign	1759	Demon's Bearer	9ss	Gladius	1	28									5	5000		oskill	149	6	7	dmg-demon		284	640	heal-kill		8	12	ethereal		1	1																					hp		28	28																																						0
Demon's Stealskull	1760	Demon's Bearer	9cl	Cudgel	1	28									5	5000		lifesteal		4	8	slow		25	25	dmg-ac		50	1078																									deadly		63	63																																						0
Sureshrill Negra	1761	Sureshrill One	7mp	War Spike	1	75									5	5000		mana%		25	75	dmg-cold	150	375	750	res-cold-max		5	15	extra-cold		62	125	cheap		5	10	addxp		5	10													extra-cold		125	125																																						0
Sureshrill Tenderizer	1762	Sureshrill One	umc	Mithril Coil	1	75									5	5000		vit		37	75	oskill	40	6	19	move1		20	63	res-all-max		5	15	addxp		5	10	dmg-to-mana		10	25													skilltab	15	3	3																																						0
Stormchaser Vomir	1763	Stormchaser SuperKhalimFlail	hlm	Helm	1	16									5	5000		allskills		1	1	abs-fire%		15	30	res-all		9	14																									skilltab	15	3	3					dru		1	1					thorns		48	48					fireskill		1	1														0
Stormchaser Manald	1764	Stormchaser SuperKhalimFlail	flc	Falchion	1	16									5	5000		allskills		1	1	vit		8	16	cast1		10	20	gold%		41	74																					skill	225	3	3					extra-fire		66	66					demon-heal		8	8					allskills		1	1					skilltab	15	3	3						0
Stormchaser Sun	1765	Stormchaser SuperKhalimFlail	brs	Breast Plate	1	16									5	5000		aura	100	3	3	mana%		5	16	fireskill		1	2																									skill	225	3	3					dru		1	1					skilltab	15	3	3																						0
Stormchaser Hammer	1766	Stormchaser SuperKhalimFlail	mbl	Belt	1	16									5	5000		dru		1	2	res-fire-max		5	15																													fireskill		1	1					allskills		1	1					extra-fire		66	66																						0
Stormchaser Dark	1767	Stormchaser SuperKhalimFlail	spk	Spiked Shield	1	16									5	5000		enr		8	16	res-fire-max		5	15	all-stats		7	9	hp		16	32																					allskills		1	1					skilltab	15	3	3					fireskill		1	1																						0
Stormchaser Bloodrise	1768	Stormchaser SuperKhalimFlail	dr3	Antlers	1	16									5	5000		hp%		5	16	abs-fire%		15	30	regen		15	15	dmg-to-mana		10	25																					dru		1	1					skilltab	15	3	3					thorns		48	48					all-stats		7	7														0
Warriv's Wang	1769	Warriv's Annihilus	fla	Flail	1	23									5	5000		vit		11	23	extra-fire		36	73	res-fire		13	20	mana		23	46																					demon-heal		11	12																																						0
Warriv's Bone	1770	Warriv's Annihilus	tbl	Heavy Belt	1	23									5	5000		aura	100	3	4	hp%		7	23	allskills		1	1	fireskill		1	2																					thorns		69	69					skill	229	3	3																														0
Warriv's Crushflange	1771	Warriv's Annihilus	hgl	Gauntlets	1	23									5	5000		mana%		7	23	allskills		1	1	res-fire		13	20	res-fire-max		5	15																					thorns		69	69					allskills		1	1																														0
Hellmouth Blood	1772	Hellmouth Soulflay	zlb	Demonhide Sash	1	30									5	5000		aura	100	3	5	mana%		10	30	extra-fire		40	80	mana		30	60	cheap		5	10																	skilltab	15	3	3					thorns		90	90					dru		1	1					all-stats		8	9					skill	249	3	3						0
Hellmouth Thieves	1773	Hellmouth Soulflay	whm	War Hammer	1	30									5	5000		hp%		10	30	dmg-fire		150	300	heal-kill		8	13																									demon-heal		15	15					dru		1	1					fireskill		1	1					all-stats		8	9					skilltab	15	3	3						0
Hellmouth Ali	1774	Hellmouth Soulflay	xea	Serpentskin Armor	1	30									5	5000		enr		15	30	res-all		12	18	cheap		5	10	oskill	94	6	8	mana%		10	30																	dru		1	1					skilltab	15	3	3					thorns		90	90																						0
Hellmouth Warder	1775	Hellmouth Soulflay	hgl	Gauntlets	1	30									5	5000		hp%		10	30	cast1		10	20	all-stats		8	13																									thorns		90	90					all-stats		8	9					skill	249	3	3					extra-fire		80	80														0
