Property	Hierarchy	Type	MinLvl	ItemType	eTypeExclusions	iTypeExclusions	PropertyExclusions	Param	LvlFunc	MinValue	MaxValue
aura	3	cold	1	armo				105	linear	3	x/3
aura	3	lightning	1	armo				110	linear	3	x/3
oskill	3	all	30	armo, weap, ring, amul				32	linear	3	x/3
oskill	3	cold	1	armo				40, 50	linear	6	x
oskill	3	all	60	weap				54	linear	3	x/3
oskill	3	magic	24	armo, weap, ring, amul				58	linear	6	x
oskill	3	lightning	24	armo, weap, ring, amul				57	linear	6	x
oskill	3	all	18	weap				81	linear	6	x
oskill	3	fire	30	armo, weap, ring, amul				94	linear	6	x
oskill	3	all	18	shie				117	linear	6	x
oskill	3	all	30	weap				121	linear	6	x
oskill	3	normal	18	armo				145	linear	6	x
oskill	3	normal	24	weap				149	linear	6	x
oskill	3	all	18	ring, amul				153	linear	6	x
oskill	3	fire	24	weap				249	linear	6	x
oskill	3	cold	24	weap				250	linear	6	x
oskill	3	lightning	24	armo, weap, ring, amul				276	linear	6	x
red-dmg	2	normal	1	armo		belt,glov,boot			linear	x / 2	x
ac%	2	normal	1	armo					linear	x + 100	(3 * x) + 200
red-mag	2	magic	1	armo		belt,glov,boot			linear	x / 2	x
mana	2	magic	1	armo, weap, ring, amul					linear	2 * x	3 * x
hp	2	all	1	armo, weap, ring, amul					linear	2 * x	3 * x
res-fire-max	2	fire	1	armo, weap, ring, amul			res-all-max			10	20
res-ltng-max	2	lightning	1	armo, weap, ring, amul			res-all-max			10	20
res-cold-max	2	cold	1	armo, weap, ring, amul			res-all-max			10	20
res-pois-max	2	poison	1	armo, weap, ring, amul			res-all-max			10	20
res-all-max	2	all	1	armo, weap, ring, amul			res-fire-max,res-ltng-max,res-cold-max,res-pois-max			10	20
abs-fire%	2	fire	1	armo, weap, ring, amul						25	50
abs-ltng%	2	lightning	1	armo, weap, ring, amul						25	50
abs-cold%	2	cold	1	armo, weap, ring, amul						25	50
swing1	2	normal	1	armo, ring, amul			sor,nec		linear	10	20 + x / 2
swing1	2	normal	1	weap		wand,staf,orb	sor,nec		linear	15	25 + x
move1	2	all	1	armo, weap, ring, amul					linear	15	25 + x
cast1	2	magic	1	armo, weap, ring, amul			bar,ama			10	25
att%	2	normal	1	weap		wand,staf,orb			linear	x + 100	(3 * x) + 200
dmg-ac	2	normal	1	weap		wand,staf,orb			linear	50	50+10 * x
dmg-demon	3	normal	1	weap		wand,staf,orb			linear	(3 * x) + 200	(5*x) + 500
dmg-undead	3	normal	1	weap		wand,staf,orb			linear	(3 * x) + 200	(5*x) + 500
att-demon	3	normal	1	weap		wand,staf,orb			linear	x + 100	(3 * x) + 200
att-undead	3	normal	1	weap		wand,staf,orb			linear	x + 100	(3 * x) + 200
fireskill	2	fire	1	armo, weap, ring, amul			bar,nec		linear	1	1 + x/20
openwounds	2	normal	1	weap		wand,staf,orb	sor,nec			35	70
deadly	2	normal	1	weap		wand,staf,orb	sor,nec			35	70
slow	2	normal	1	weap		wand,staf,orb	sor,nec			25	25
nofreeze	2	cold	1	armo						1	1
dmg-fire	2	fire	1	weap		wand,staf,orb	sor,nec		linear	5 * x	10 * x
dmg-ltng	2	lightning	1	weap		wand,staf,orb	sor,nec		linear	5 * x	10 * x
dmg-cold	2	cold	1	weap		wand,staf,orb	sor,nec	150	linear	5 * x	10 * x
dmg-pois	2	poison	1	weap		wand,staf,orb	sor,nec	75	linear	5 * x	10 * x
dmg-norm	2	normal	1	weap		wand,staf,orb	sor,nec		linear	5 * x	10 * x
extra-fire	2	fire	1	weap			bar,nec		linear	(2 * x)	3 * x
extra-ltng	2	lightning	1	weap			bar,dru,nec		linear	(2 * x)	3 * x
extra-cold	2	cold	1	weap			bar,nec		linear	(2 * x)	3 * x
extra-pois	2	poison	1	weap			bar,sor,pal		linear	3 * x	4 * x
extra-fire	2	fire	1	armo, ring, amul			bar,nec		linear	x / 2	x
extra-ltng	2	lightning	1	armo, ring, amul			bar,dru,nec		linear	x / 2	x
extra-cold	2	cold	1	armo, ring, amul			bar,nec		linear	x / 2	x
extra-pois	2	poison	1	armo, ring, amul			bar,sor,pal		linear	x / 2	x
all-stats	2	all	1	armo, weap, ring, amul					linear	x/4 + 5	x/2 + 5
ac	3	normal	1	armo					linear	(5 * x) + 25	(10 * x) + 25
ac-miss	3	normal	1	armo					linear	(5 * x) + 25	(10 * x) + 25
ac-hth	3	normal	1	armo					linear	(5 * x) + 25	(10 * x) + 25
att	3	normal	1	weap		wand,staf,orb			linear	(5 * x) + 25	(10 * x) + 25
block	3	normal	1	shie						40	80
dmg-to-mana	3	magic	1	armo, ring, amul						25	50
regen	3	all	1	armo, weap, ring, amul					linear	x / 2	2 * x
thorns	3	normal	1	armo, weap, ring, amul					linear	x	2 * x
gold%	3	all	1	armo, weap, ring, amul					linear	50 + 2 * x	100 + 3 * x
mag%	3	all	1	armo, weap, ring, amul					linear	25 + x	50 + 2 * x
regen-mana	3	magic	1	armo, weap, ring, amul					linear	x / 2	2 * x
ease	3	all	1	armo, weap, ring, amul					linear	-x	-100
balance1	3	normal	1	armo, weap, ring, amul						35	35
block1	3	normal	1	shie						35	35
res-pois-len	3	poison	1	armo, weap, ring, amul						75	75
ignore-ac	3	normal	1	weap		wand,staf,orb				1	1
reduce-ac	3	normal	1	weap		wand,staf,orb				50	75
noheal	3	normal	1	weap		wand,staf,orb				1	1
half-freeze	3	cold	1	armo, weap, ring, amul						1	1
light-thorns	3	lightning	1	armo, weap, ring, amul					linear	x	2 * x
freeze	3	cold	1	weap			sor,nec			1	1
mana-kill	3	magic	1	armo, weap, ring, amul					linear	x/4 + 5	x/2 + 5
demon-heal	3	all	1	armo, weap, ring, amul					linear	x/4 + 5	x/2 + 5
pierce	3	normal	1	weap		axe,wand,club,scep,mace,hamm,swor,knif,spea,pole,staf,h2h,h2h2,orb,aspe				100	100
indestruct	3	normal	1	weap						1	1
addxp	3	all	1	armo, weap, ring, amul						10	20
heal-kill	3	all	1	armo, weap, ring, amul					linear	x/4 + 5	x/2 + 5
cheap	3	all	1	armo, weap, ring, amul						10	20
ethereal	3	normal	1	armo, weap						1	1
levelreq	3	normal	1	armo, weap						1	1
pierce-immunity-cold	2	cold	30	weap						300	300
pierce-immunity-fire	2	fire	30	weap						300	300
pierce-immunity-light	2	lightning	30	weap						300	300
pierce-immunity-poison	2	poison	30	weap						300	300
pierce-immunity-damage	2	normal	30	weap						300	300
hit-skill	2	normal	1	weap			hit-skill,gethit-skill,sor,nec	8,17	linear	5	x / 5 + 5
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	36	linear	min(100, x + 25)	x
hit-skill	2	lightning	1	weap			hit-skill,gethit-skill,sor,nec	38	linear	min(100, x + 25)	x
hit-skill	2	cold	1	weap			hit-skill,gethit-skill,sor,nec	39	linear	min(100, x + 25)	x
gethit-skill	2	cold	1	armo			hit-skill,gethit-skill	40,50,60	linear	2	x
gethit-skill	2	cold	1	armo			hit-skill,gethit-skill	44	linear	10	x
hit-skill	2	cold	1	weap			hit-skill,gethit-skill,sor,nec	44	linear	10	x
hit-skill	2	cold	1	weap			hit-skill,gethit-skill,sor,nec	45	linear	min(100, x + 10)	x
gethit-skill	2	fire	1	armo			hit-skill,gethit-skill	46	linear	4	x
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	47	linear	min(100, x + 10)	x
gethit-skill	2	lightning	1	armo			hit-skill,gethit-skill	48	linear	10	x
hit-skill	2	lightning	1	weap			hit-skill,gethit-skill,sor,nec	48	linear	10	x
hit-skill	2	lightning	1	weap			hit-skill,gethit-skill,sor,nec	49	linear	min(100, x + 10)	x
gethit-skill	2	fire	1	armo			hit-skill,gethit-skill	51	linear	4	x
hit-skill	2	fire	1	armo			hit-skill,gethit-skill,sor,nec	51	linear	8	x
hit-skill	2	fire	1	armo			hit-skill,gethit-skill,sor,nec	52	linear	1	min(100, 2 * x)
hit-skill	2	lightning	1	weap			hit-skill,gethit-skill,sor,nec	53	linear	x / 2	x
hit-skill	2	cold	1	weap			hit-skill,gethit-skill,sor,nec	55	linear	min(100, x + 10)	x
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	56	linear	10	x
gethit-skill	2	lightning	1	armo			hit-skill,gethit-skill	57	linear	2	min(100, 2 * x)
gethit-skill	2	lightning	1	armo			hit-skill,gethit-skill	58	linear	2	min(100, 2 * x)
hit-skill	2	cold	18	weap			hit-skill,gethit-skill,sor,nec	59	linear	10	x
hit-skill	2	fire	18	weap			hit-skill,gethit-skill,sor,nec	62	linear	25	x
hit-skill	2	cold	30	weap			hit-skill,gethit-skill,sor,nec	64	linear	x / 2	x
gethit-skill	2	normal	1	armo			hit-skill,gethit-skill	68	linear	min(x / 3 + 1, 20)	min(100, 2 * x)
hit-skill	2	normal	1	weap			hit-skill,gethit-skill,sor,nec	72,81,87	linear	5	x / 2
hit-skill	2	normal	1	weap			hit-skill,gethit-skill,sor,nec	84	linear	5	x
hit-skill	2	poison	1	weap			hit-skill,gethit-skill,sor,nec	92	linear	min(100, x / 2 + 1)	min(100, 2 * x)
hit-skill	2	normal	1	weap			hit-skill,gethit-skill,sor,nec	93, 112, 154, 240, 245	linear	min(100, x / 2 + 1)	min(100, 2 * x)
hit-skill	2	normal	1	weap			hit-skill,gethit-skill,sor,nec	258,267,279,32	linear	2	x
gethit-skill	2	normal	1	armo			hit-skill,gethit-skill	117,138,146,149,155,199	linear	2	x
hit-skill	2	lightning	1	weap			hit-skill,gethit-skill,sor,nec	121	linear	min(100, x / 2 + 1)	min(100, 2 * x)
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	195	linear	2	100
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	197	linear	min(100, x / 2 + 1)	min(100, 2 * x)
hit-skill	2	poison	1	weap			hit-skill,gethit-skill,sor,nec	201	linear	min(100, x / 2 + 1)	min(100, 2 * x)
gethit-skill	2	cold	1	armo			hit-skill,gethit-skill	235	linear	min(x / 3 + 1, 20)	min(100, 2 * x)
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	229,234,244	linear	min(100, x / 2 + 1)	min(100, 2 * x)
hit-skill	2	poison	1	weap			hit-skill,gethit-skill,sor,nec	278	linear	2	min(100, 3 * x)
hit-skill	2	fire	1	weap			hit-skill,gethit-skill,sor,nec	249	linear	5	min(100, 2 * x)
hit-skill	2	cold	1	weap			hit-skill,gethit-skill,sor,nec	250	linear	5	min(100, 2 * x)
