index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Sureshrill Pupil	Sureshrill Pupil	100	dmg-ltng		216	432					pal		1	1																					dmg-ltng		216	432	gold%		200	200	all-stats		14	14	skill	121	3	3	cheap		10	10	res-all		30	31	res-all-max		10	10					0
Harvest Flame	Harvest Flame	100	regen		63	63					mana-kill		31	32					addxp		10	10					dmg-cold	150.0	189	378					gold%		200	200	allskills		1	1	addxp		10	10	cheap		10	10	res-cold		29	30	skilltab	3	3	3									0
Thorn Hellfire	Thorn Hellfire	100	mag%		100	100					regen		77	77					gold%		200	200					addxp		10	10					res-cold		31	32	cheap		10	10	res-all		31	32	extra-cold		127	127	res-all-max		10	10	all-stats		14	15	dmg-cold	150.0	231	462					0
Zakarum's Demonlimb	Zakarum's Demonlimb	100	addxp		10	10					allskills		1	1																					res-all		29	30	gold%		200	200	mag%		100	100	skilltab	4	3	3	cheap		10	10													0
Constricting Bul	Constricting Bul	100	extra-ltng		65	65					res-all		19	20																					sor		1	1	cheap		10	10	dmg-ltng		45	90	res-all-max		10	10	res-all		19	20													0
Cord Guardian	Cord Guardian	100	mag%		100	100					addxp		10	10																					dmg-ltng		195	390	all-stats		13	14	res-all		29	30	mag%		100	100	allskills		1	1	gold%		200	200	skill	53	3	3					0
Shroud Sandstorm	Shroud Sandstorm	100	gold%		200	200					skilltab	5	3	3																					gold%		200	200	res-fire		29	30	addxp		10	10																					0
Bing Wail	Bing Wail	100	regen-mana		79	79					fireskill		1	1					res-all		31	32													skilltab	5	3	3	res-fire-max		10	10	cheap		10	10	res-fire		31	32	mag%		100	100	addxp		10	10	gold%		200	200	dmg-fire		237	474	0
Stoneraven Talons	Stoneraven Talons	100	regen		34	34					gold%		200	200																					extra-fire		84	84	sor		1	1	addxp		10	10	skilltab	5	3	3	mag%		100	100	fireskill		1	1									0
Frostwind Bloodfist	Frostwind Bloodfist	100	mana-kill		17	17					dmg-fire		102	204																					skill	52	3	3	mag%		100	100	res-fire		25	26	allskills		1	1	all-stats		9	10	cheap		10	10	fireskill		1	1	gold%		200	200	0
