code	pvalue	prange	svalue	srange	jvalue	jrange	scvalue	scrange	minlvl	lvlscalefactor	primary	prefix_name	suffix_name
pal	1	0	1	0	1	0	1	0	25	static	armo	Paladin's	of the Crusader
nec	1	0	1	0	1	0	1	0	25	static	armo	Necromancer's	of the Undead
sor	1	0	1	0	1	0	1	0	25	static	armo	Sorceress's	of the Ethereal
bar	1	0	1	0	1	0	1	0	25	static	armo	Barbarian's	of the Tribes
ease	-4	-4	-4	-4	0	0	0	0	25	0	weap	Light	of Welfare 
move1	15	0	5	0	5	0	15	0	1	static	armo	Swift	of Speed
balance1	30	0	10	0	10	0	15	0	1	static	armo	Swift	of Speed
block1	15	0	5	0	5	0	15	0	1	static	armo	Swift	of Speed
cast1	10	0	10	0	10	0	10	0	1	static	weap	Swift	of Speed
dmg-norm	3	4	2	1	2	1	2	1	1	5	weap	Cruel	of Cruelty
att%	5	5	3	2	3	2	0	0	1	10	weap	Precise	of Precision
dmg-demon	10	8	6	2	6	2	0	0	1	15	weap	Demon Slayer's	of Purging
dmg-undead	10	8	6	2	6	2	0	0	1	15	weap	Undead Slayer's	of Purging
att-demon	100	100	25	10	25	10	0	0	1	0	weap	Demon Slayer's	of Purging
att-undead	100	100	25	10	25	10	0	0	1	0	weap	Undead Slayer's	of Purging
fireskill	1	0	1	0	1	0	1	0	25	static	armo	Fire Lord's	of the Fire Lord
allskills	1	0	1	0	1	0	0	0	55	static	armo	Great	of Greatness
freeze	1	0	0	0	0	0	0	0	25	static	weap	Frozen	of Freezing
extra-fire	7	5	0	0	0	0	0	0	1	5	weap		
extra-ltng	7	5	0	0	0	0	0	0	1	5	weap		
extra-pois	7	5	0	0	0	0	0	0	1	5	weap		
extra-cold	7	5	0	0	0	0	0	0	1	5	weap		
deadly	21	23	0	0	0	0	10	0	1	static	weap	Assassin's	of Assassination
slow	25	0	0	0	0	0	0	0	1	static	weap	Cripple's	of Crippling
nofreeze	1	0	0	0	0	0	0	0	25	static	armo	Indominable	of the Snow Man
pierce	1	0	0	0	0	0	0	0	25	static	weap	Piercing	of pericing
magicarrow	1	0	0	0	0	0	0	0	25	static	weap	Magic	of Magic Arrows
explosivearrow	1	0	0	0	0	0	0	0	25	static	weap	Explosive	of Explosive Arrows
dru	1	0	1	0	1	0	1	0	25	static	armo	Druid's	of the Wild
ass	1	0	1	0	1	0	1	0	25	static	armo	Assassin's	of Slaying
all-stats	5	5	3	3	2	2	1	1	1	0	armo	Great	of Greatness
addxp	0	0	0	0	1	1	0	0	1	0	armo	Wizard's	of Learning
cheap	0	0	0	0	1	1	0	0	1	0	armo	Gheed's	of Haggling
pierce-immunity-cold	300	0	0	0	0	0	0	0	50	static	weap		
pierce-immunity-fire	300	0	0	0	0	0	0	0	50	static	weap		
pierce-immunity-light	300	0	0	0	0	0	0	0	50	static	weap		
pierce-immunity-poison	300	0	0	0	0	0	0	0	50	static	weap		
pierce-immunity-damage	300	0	0	0	0	0	0	0	50	static	weap		
pierce-immunity-magic	300	0	0	0	0	0	0	0	50	static	weap		
